iter	Passed	Remaining
399	60523	90785
400	60713	90692
401	60842	90507
402	61046	90433
403	61208	90297
404	61349	90130
405	61514	89998
406	61646	89818
407	61809	89684
408	61972	89549
409	62160	89450
410	62300	89281
411	62427	89094
412	62552	88906
413	62713	88767
414	62878	88635
415	63051	88514
416	63255	88435
417	63416	88297
418	63561	88136
419	63703	87971
420	63897	87878
421	64063	87745
422	64258	87653
423	64403	87491
424	64572	87363
425	65140	87772
426	65358	87706
427	65528	87576
428	65688	87431
429	65833	87268
430	66021	87160
431	66200	87040
432	66363	86901
433	66508	86736
434	66682	86610
435	66829	86449
436	66989	86305
437	67133	86139
438	67312	86018
439	67553	85977
440	67693	85806
441	67846	85652
442	68003	85503
443	68147	85337
444	68310	85196
445	68490	85075
446	68633	84908
447	68785	84753
448	68936	84597
449	69062	84409
450	69222	84264
451	69398	84137
452	69615	84060
453	69749	83883
454	69882	83704
455	70034	83550
456	70187	83395
457	70304	83199
458	70446	83031
459	70647	82934
460	70793	82771
461	70934	82603
462	71173	82548
463	71425	82509
464	71646	82431
465	71797	82274
466	71954	82124
467	72081	81938
468	72230	81779
469	72415	81660
470	72548	81482
471	72776	81410
472	72921	81246
473	73040	81053
474	73167	80869
475	73289	80680
476	73429	80510
477	73573	80345
478	73711	80174
479	73896	80054
480	74056	79907
481	74186	79727
482	74333	79565
483	74489	79414
484	74640	79257
485	74823	79134
486	74958	78960
487	75092	78785
488	75245	78631
489	75387	78465
490	75527	78296
491	75668	78129
492	75820	77973
493	76010	77856
494	76171	77710
495	76335	77567
496	76476	77399
497	76620	77235
498	76761	77069
499	76881	76881
500	77059	76752
501	77218	76603
502	77366	76443
503	77516	76285
504	77664	76126
505	77780	75935
506	77922	75770
507	78102	75642
508	78264	75496
509	78390	75316
510	79182	75773
511	79313	75596
512	79448	75422
513	79603	75267
514	79736	75092
515	79857	74905
516	80019	74756
517	80182	74610
518	80344	74462
519	80506	74313
520	80620	74121
521	80764	73956
522	80892	73777
523	81054	73629
524	81246	73508
525	81384	73338
526	81507	73155
527	81622	72965
528	81753	72790
529	81874	72605
530	82015	72439
531	82178	72292
532	82349	72152
533	82493	71988
534	82677	71860
535	82810	71686
536	82959	71527
537	83101	71362
538	83285	71233
539	83487	71118
540	83665	70983
541	83802	70814
542	83957	70660
543	84128	70519
544	84249	70336
545	84462	70231
546	84607	70067
547	84735	69891
548	84902	69747
549	85050	69587
550	85196	69425
551	85334	69257
552	85535	69139
553	85672	68971
554	85835	68823
555	86067	68729
556	86365	68688
557	86575	68577
558	86711	68407
559	86887	68268
560	87028	68102
561	87150	67921
562	87307	67768
563	87413	67574
564	87532	67391
565	87724	67265
566	87843	67083
567	87996	66926
568	88174	66789
569	88346	66647
570	88501	66492
571	88701	66371
572	88855	66214
573	89020	66067
574	89177	65913
575	89308	65741
576	89447	65574
577	89566	65392
578	89801	65295
579	89913	65109
580	90064	64951
581	90212	64791
582	90338	64616
583	90476	64449
584	90606	64276
585	90770	64128
586	90959	63996
587	91104	63835
588	91242	63668
589	91415	63526
590	91573	63373
591	91688	63190
592	91932	63096
593	92050	62916
594	92208	62763
595	92338	62592
596	92444	62404
597	92615	62260
598	92761	62099
599	92928	61952
600	93118	61820
601	93215	61627
602	93448	61524
603	93655	61403
604	93872	61288
605	94060	61154
606	94219	61002
607	94342	60826
608	94509	60678
609	94629	60501
610	94767	60334
611	94905	60169
612	95035	59998
613	95239	59873
614	95374	59706
615	95566	59573
616	95707	59410
617	95856	59250
618	95990	59082
619	96129	58918
620	96374	58817
621	96583	58695
622	96770	58559
623	96900	58388
624	97040	58224
625	97234	58092
626	97403	57944
627	97545	57781
628	97654	57599
629	97823	57451
630	97979	57297
631	98144	57147
632	98285	56983
633	98461	56840
634	98601	56676
635	98775	56531
636	98898	56358
637	99067	56210
638	99212	56049
639	99359	55889
640	99537	55746
641	99646	55566
642	99818	55420
643	99947	55250
644	100142	55116
645	100349	54990
646	100662	54920
647	100861	54788
648	100997	54622
649	101145	54462
650	101251	54280
651	101386	54114
652	101522	53948
653	101696	53802
654	101821	53631
655	101945	53458
656	102089	53297
657	102245	53142
658	102382	52977
659	102558	52833
660	102767	52705
661	102889	52532
662	102999	52353
663	103171	52207
664	103306	52041
665	103446	51878
666	103562	51703
667	103725	51552
668	103913	51413
669	104034	51240
670	104159	51070
671	104290	50903
672	104446	50748
673	104563	50575
674	104697	50409
675	104904	50279
676	105067	50128
677	105202	49963
678	105426	49840
679	105566	49678
680	105704	49514
681	105865	49362
682	106063	49227
683	106232	49078
684	106368	48913
685	106502	48748
686	106658	48594
687	106795	48430
688	106940	48270
689	107123	48127
690	107235	47953
691	107374	47790
692	107540	47640
693	107691	47483
694	107857	47333
695	107998	47171
696	108180	47028
697	108334	46872
698	108457	46703
699	108591	46539
700	108823	46416
701	109078	46303
702	109453	46241
703	109705	46126
704	109939	46002
705	110143	45867
706	110330	45723
707	110486	45568
708	110657	45418
709	110828	45267
710	110991	45114
711	111166	44966
712	111304	44802
713	111538	44677
714	111681	44516
715	111817	44352
716	111988	44202
717	112116	44034
718	112255	43871
719	112503	43751
720	112670	43599
721	112788	43428
722	112929	43266
723	113065	43102
724	113193	42935
725	113337	42774
726	113447	42601
727	113683	42475
728	113822	42312
729	113953	42147
730	114087	41983
731	114244	41827
732	114385	41665
733	114549	41512
734	114781	41383
735	114915	41219
736	115076	41065
737	115224	40906
738	115416	40762
739	115564	40603
740	115708	40443
741	115921	40306
742	116064	40145
743	116212	39986
744	116340	39821
745	116492	39663
746	116755	39543
747	117074	39442
748	117227	39284
749	117396	39132
750	117546	38973
751	117687	38811
752	117803	38642
753	118099	38531
754	118206	38358
755	118338	38193
756	118507	38041
757	118657	37882
758	118767	37711
759	118939	37559
760	119170	37426
761	119308	37264
762	119448	37102
763	119561	36932
764	119682	36765
765	119795	36595
766	119948	36438
767	120087	36276
768	120273	36128
769	120434	35973
770	120561	35808
771	120694	35645
772	120838	35485
773	120986	35326
774	121134	35168
775	121342	35026
776	121478	34864
777	121629	34706
778	121778	34548
779	121933	34391
780	122100	34238
781	122242	34077
782	122522	33955
783	122691	33802
784	122831	33641
785	122981	33483
786	123137	33326
787	123280	33166
788	123422	33006
789	123656	32870
790	123813	32714
791	124048	32578
792	124315	32450
793	124486	32297
794	124699	32155
795	124856	31998
796	124992	31836
797	125122	31672
798	125253	31509
799	125392	31348
800	125563	31195
801	125815	31061
802	125929	30894
803	126075	30734
804	126229	30577
805	126394	30422
806	126570	30270
807	126705	30108
808	126934	29968
809	127063	29805
810	127229	29650
811	127369	29489
812	127525	29332
813	127686	29176
814	127930	29039
815	128067	28877
816	128177	28710
817	128325	28551
818	128462	28390
819	128584	28225
820	128757	28072
821	128887	27909
822	129103	27765
823	129244	27605
824	129409	27450
825	129541	27288
826	129704	27132
827	129854	26974
828	130012	26818
829	130302	26688
830	130448	26529
831	130593	26369
832	130727	26208
833	130871	26048
834	131069	25900
835	131335	25764
836	131492	25607
837	131639	25448
838	131811	25294
839	131957	25134
840	132085	24972
841	132237	24814
842	132430	24663
843	132592	24507
844	132711	24343
845	132887	24189
846	133023	24028
847	133180	23871
848	133331	23713
849	133563	23570
850	133715	23411
851	133888	23257
852	134012	23094
853	134150	22934
854	134288	22774
855	134430	22614
856	134634	22465
857	134789	22307
858	134922	22146
859	135104	21993
860	135234	21832
861	135391	21675
862	135523	21514
863	135749	21367
864	135890	21208
865	136003	21044
866	136147	20885
867	136281	20724
868	136408	20563
869	136566	20406
870	136793	20259
871	136935	20100
872	137070	19940
873	137212	19781
874	137368	19624
875	137527	19467
876	137672	19308
877	137905	19162
878	138056	19004
879	138191	18844
880	138445	18700
881	138695	18555
882	138837	18396
883	139046	18245
884	139196	18087
885	139340	17928
886	139467	17767
887	139582	17604
888	139693	17442
889	139815	17280
890	139925	17117
891	140132	16966
892	140274	16807
893	140427	16650
894	140583	16493
895	140745	16336
896	140898	16179
897	141030	16019
898	141300	15874
899	141455	15717
900	141591	15557
901	141718	15397
902	141861	15238
903	141992	15078
904	142147	14921
905	142372	14771
906	142521	14613
907	142656	14454
908	142783	14294
909	142909	14133
910	143054	13975
911	143202	13817
912	143443	13668
913	143565	13508
914	143693	13348
915	143840	13190
916	143964	13030
917	144090	12870
918	144225	12711
919	144363	12553
920	144625	12405
921	144773	12247
922	144920	12089
923	145066	11931
924	145174	11770
925	145321	11613
926	145453	11454
927	145656	11300
928	145773	11140
929	146479	11025
930	146687	10871
931	146843	10713
932	146974	10554
933	147096	10394
934	147244	10236
935	147347	10075
936	147477	9915
937	147640	9758
938	147886	9607
939	148023	9448
940	148199	9291
941	148370	9135
942	148486	8975
943	148630	8817
944	148772	8658
945	149015	8506
946	149181	8349
947	149352	8192
948	149513	8034
949	149700	7878
950	149844	7720
951	150068	7566
952	150222	7408
953	150384	7251
954	150512	7092
955	150644	6933
956	150783	6775
957	150882	6614
958	151065	6458
959	151269	6302
960	151395	6144
961	151528	5985
962	151663	5827
963	151808	5669
964	151929	5510
965	152084	5352
966	152287	5196
967	152445	5039
968	152686	4884
969	152933	4729
970	153141	4573
971	153370	4418
972	153483	4259
973	153604	4100
974	153740	3942
975	153891	3784
976	154024	3625
977	154160	3467
978	154263	3309
979	154526	3153
980	154669	2995
981	154820	2837
982	154963	2679
983	155096	2521
984	155235	2363
985	155385	2206
986	155602	2049
987	155746	1891
988	155870	1733
989	156056	1576
990	156214	1418
991	156367	1261
992	156514	1103
993	156726	946
994	156844	788
995	156999	630
996	157130	472
997	157274	315
998	157415	157
999	157565	0
